Price,property_id,title,street_address,city,province,price_per_night,bedroom_count,bathroom_count,floors,parking,face,year,views,area,road,road_width,road_type,build_area,posted,amenities,category,type,guest_count,location_score,rating,booking_id,tenant_id,start_date,end_date,total_price,payment_status,tax_record_id,municipality,tax_rate,distribution_status,factor_id,seasonality_index,tourism_stats,local_events,inflation,cpi,listing_type,area_sqft,build_area_sqft
32000000,8f680822-657e-4094-9a36-9cab65e4d3ff,"Beautiful House For Sale : House For Sale In Lekhnath, Pokhara","4, Lekhnath, Pokhara",Pokhara,Other,1000,4,5,3.0,3,South West,2075.0,922.0,14 Aana,15 Feet / Blacktopped,10.0, Blacktopped,7 Aana,2020-01-01,"['Parking', 'Backyard']",Apartment,Entire Place,2,0.6,4.0,,,,,95036678,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,4791.5,2395.75
39900000,3a9f7a5e-4d45-4c96-82b8-3e3f6fcaf5f6,"House Sale In Budhanilkantha : House For Sale In Chapali, Kathmandu","Budhanilkantha, Chapali, Kathmandu",Kathmandu,Other,1000,5,4,3.0,1,North West,2075.0,592.0,0-4-2-0 Aana,14 Feet / Paved,10.0, Paved,2500 Aana,2020-01-01,"['Parking', 'Balcony', 'Internet']",Apartment,Entire Place,2,0.6,4.0,,,,,3867241851,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,0.0,855625.0
15000000,d75d5518-dc05-4da1-8e92-858f5016b98b,"Budhanilkantha Mandir 1 Floor Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,Other,1000,2,2,1.0,1,South,2074.0,766.0,5 Aana,12 Feet / Gravelled,10.0, Gravelled,N/A Aana,2020-01-01,['Parking'],Apartment,Entire Place,2,0.6,4.0,,,,,51731143,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,1711.25,400.0
52500000,c3fdcfb3-1922-42bb-ae4b-2c096cb58818,"House For Sale , Hepali Height : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,Other,1000,5,5,3.0,3,South East,2075.0,872.0,8 Aana,20 Feet / Blacktopped,10.0, Blacktopped,N/A Aana,2020-01-01,"['Parking', 'Garage', 'Modular Kitchen', 'Microwave', 'Garden', 'Drainage', 'Water Supply', 'Solar Water', 'Water Well']",Apartment,Entire Place,2,0.6,4.0,,,,,89111490,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,2738.0,400.0
26500000,4f5e638c-9474-45c4-ae2d-203b6c77e393,"Tokha Grandy Height Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,Other,1000,6,6,3.0,1,East,2076.0,0.0,4 Aana,13 Feet / Paved,10.0, Paved,N/A Aana,2020-01-01,['Parking'],Apartment,Entire Place,2,0.6,4.0,,,,,48182838,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,1369.0,400.0
25500000,63f27875-2e43-47d5-ba6a-afb8167a3eb6,"Sitapaila Modern Semi Bungalow : House For Sale In Sitapaila, Kathmandu","NA, Sitapaila, Kathmandu",Kathmandu,Other,1000,6,6,3.0,1,East,2076.0,0.0,4 Aana,13 Feet / Gravelled,10.0, Gravelled,2700 Sq. Feet,2020-01-01,['Parking'],Apartment,Entire Place,2,0.6,4.0,,,,,60244957,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,1369.0,2700.0
33000000,7f69740e-ec12-4e45-be58-d9637fe8970c,"2.5 Storey : House For Sale In Narephate, Kathmandu","Nearby CCRC College, Narephate, Kathmandu",Kathmandu,Other,1000,6,4,2.5,1,East,2056.0,0.0,0-6-0-0 Aana,20 Feet / Blacktopped,10.0, Blacktopped,N/A Aana,2020-01-01,"['Lawn', 'Fencing', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Parking', 'Store Room']",Apartment,Entire Place,2,0.6,4.0,,,,,8429040,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,0.0,400.0
18500000,fa53cd80-6b0c-481e-8be6-eb3e7fc9b6f0,"2.5 Storey House On Sale At Daura Dipo , Checkpost : House For Sale In Thankot, Kathmandu","Daura Dipo, Thankot, Kathmandu",Kathmandu,Other,1000,4,4,1.0,3,South,2010.0,404.0,6 Aana,13 Feet,10.0,,N/A Aana,2020-01-01,['Parking'],Apartment,Entire Place,2,0.6,4.0,,,,,63561513,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,2053.5,400.0
62000000,96c2efaf-323d-42c0-b07b-e55ef73fe5cd,"House For Sale At Kalanki : House For Sale In Kalanki, Kathmandu","khasibazaar, Kalanki, Kathmandu",Kathmandu,Other,1000,7,4,1.0,3,East,2010.0,164.0,10 Aana,0 Feet,10.0,,N/A Aana,2020-01-01,[],Apartment,Entire Place,2,0.6,4.0,,,,,94503808,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,3422.5,400.0
10500000,8e5fe469-4e49-4ecd-9f10-61844282f19d,"House Sale In Lolang Height : House For Sale In Kavresthali, Kathmandu","Lonag height, Kavresthali, Kathmandu",Kathmandu,Other,1000,0,0,1.0,0,North,2010.0,460.0,0-4-0-0 Aana,10 Feet,10.0,,N/A Aana,2020-01-01,[],Apartment,Entire Place,2,0.6,4.0,,,,,2247965,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,0.0,400.0
20500000,60d1a00f-469a-4050-99fe-7c74851e7611,"House For Sale In Sipadol, Bhaktapur","Sipadol, Sipadol, Bhaktapur",Bhaktapur,Other,1000,7,3,3.0,1,East,2076.0,0.0,0-3-2-0 Aana,10 Feet / Gravelled,10.0, Gravelled,2100 Sq. Feet,2020-01-01,"['Lawn', 'Balcony', 'Fencing', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'CCTV', 'Internet', 'Parking', 'Store Room']",Apartment,Entire Place,2,0.6,4.0,,,,,18513819,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,0.0,2100.0
22000000,60c292e7-6eaa-4e83-bec8-0649cdcae3cd,"House For Sale In Radhe Radhe, Bhaktapur","Radhe Radhe, Radhe Radhe, Bhaktapur",Bhaktapur,Other,1000,0,0,1.0,0,East,2010.0,720.0,0-3-2-0 Aana,20 Feet / Blacktopped,10.0, Blacktopped,N/A Sq. Feet,2020-01-01,[],Apartment,Entire Place,2,0.6,4.0,,,,,2612886,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,0.0,400.0
145000000,39e21fe1-0606-466d-aa45-21956d1ad161,"Balaju Commercial Building For Sale : House For Sale In Balaju, Kathmandu","Na, Balaju, Kathmandu",Kathmandu,Other,1000,95,40,5.0,7,East,2073.0,169.0,21 Aana,20 Feet / Blacktopped,10.0, Blacktopped,N/A Aana,2020-01-01,"['Parking', 'Garage']",Apartment,Entire Place,2,0.6,4.0,,,,,266140676,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,7187.25,400.0
55000000,2c7b2e31-b763-41ea-bea7-787267d12b38,"Budhanilkantha Taulung Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,Other,1000,5,6,3.0,4,South,2071.0,253.0,19 Aana,20 Feet / Gravelled,10.0, Gravelled,N/A Aana,2020-01-01,"['Parking', 'Garden']",Apartment,Entire Place,2,0.6,4.0,,,,,185903522,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,6502.75,400.0
24000000,d6b6c77e-4c97-4ad9-b9ec-625335cdf3d6,"Semi-Furnished House : House For Sale In Sitapaila, Kathmandu","Ramkot, Sitapaila, Kathmandu",Kathmandu,Other,1000,4,4,2.5,1,East,2075.0,510.0,0-4-0-0 Aana,13 Feet / Blacktopped,10.0, Blacktopped,2100 Sq. Feet,2020-01-01,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking']",Apartment,Entire Place,2,0.6,4.0,,,,,15243479,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,0.0,2100.0
37000000,29e7a439-ace1-4340-b42c-c12829606434,"Dhapasi Deurali Janata Najik Ghar : House For Sale In Dhapasi, Kathmandu","Na, Dhapasi, Kathmandu",Kathmandu,Other,1000,6,6,3.0,3,South East,2010.0,178.0,6.1 Aana,32 Feet,10.0,,N/A Aana,2020-01-01,"['Parking', 'Garage']",Apartment,Entire Place,2,0.6,4.0,,,,,61816598,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,2087.725,400.0
102500000,99f61ad7-85a7-4917-8e83-ea0d81e58c9f,"Golfutar Height 19 Ana Bungalow : House For Sale In Golfutar, Kathmandu","Na, Golfutar, Kathmandu",Kathmandu,Other,1000,6,6,3.0,4,East,2070.0,208.0,19 Aana,13 Feet / Blacktopped,10.0, Blacktopped,N/A Aana,2020-01-01,"['Parking', 'Garage', 'Backyard', 'Balcony', 'Air Condition', 'Frontyard', 'Fencing', 'Garden', 'Modular Kitchen', 'Water Supply', 'Drainage', 'Solar Water', 'Water Well']",Apartment,Entire Place,2,0.6,4.0,,,,,190391609,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,6502.75,400.0
22000000,a35d0c6d-c814-4db2-9105-8dc2d65268f3,"Newly Constructed : House For Sale In Imadol, Lalitpur","Sital height, Imadol, Lalitpur",Lalitpur,Other,1000,7,4,3.5,2,South,2076.0,981.0,0-4-2-0 Aana,13 Feet / Gravelled,10.0, Gravelled,2700 Aana,2020-01-01,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking', 'Store Room']",Apartment,Entire Place,2,0.6,4.0,,,,,4504736117,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,0.0,924075.0
58500000,3e150e56-76e0-4b1d-968c-c9ae8afb9030,"House For Sale In Pepsicola, Kathmandu","Na, Pepsicola, Kathmandu",Kathmandu,Other,1000,6,6,3.0,2,East,2076.0,318.0,6.5 Aana,16 Feet / Blacktopped,10.0, Blacktopped,N/A Aana,2020-01-01,"['Parking', 'Garage']",Apartment,Entire Place,2,0.6,4.0,,,,,68778669,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,2224.625,400.0
18500000,c08386dd-5841-4b72-9a34-14c5aa0541b7,"House For Sale In Imadol, Lalitpur","Bojepokhari, Imadol, Lalitpur",Lalitpur,Other,1000,4,3,2.5,1,East,2076.0,596.0,0-3-0-0 Aana,13 Feet / Gravelled,10.0, Gravelled,N/A Sq. Feet,2020-01-01,"['Lawn', 'Balcony', 'Fencing', 'Drainage', 'Water Supply', 'Water Tank', 'Store Room']",Apartment,Entire Place,2,0.6,4.0,,,,,7456607,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,0.0,400.0
21000000,75695fde-76f3-4af4-86e8-1733228523ab,"Newly Built House : House For Sale In Imadol, Lalitpur","Bojepokhari, Imadol, Lalitpur",Lalitpur,Other,1000,4,3,2.5,1,East,2076.0,466.0,0-3-2-0 Aana,13 Feet / Gravelled,10.0, Gravelled,112 Sq. Meter,2020-01-01,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking', 'Store Room']",Apartment,Entire Place,2,0.6,4.0,,,,,7344606,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,0.0,400.0
17500000,b87a166a-6f7d-423c-b2b6-95fc6182ea19,"Imadol, Swastik Tole House On Sell : House For Sale In Imadol, Lalitpur","Swastik Tole, Imadol, Lalitpur",Lalitpur,Other,1000,5,3,3.0,1,South,2010.0,157.0,3-0-2 Aana,13 Feet,10.0,,3-0-2 Aana,2020-01-01,"['Parking', 'Balcony', 'Water Tank', 'Water Well', 'Drainage', 'Internet', 'Wifi', 'TV Cable']",Apartment,Entire Place,2,0.6,4.0,,,,,6913997,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,3.0,3.0
130000000,605d30c1-ede0-4d95-aea2-9633b26f4cc7,"Baluwatar New Home : House For Sale In Baluwatar, Kathmandu","Na, Baluwatar, Kathmandu",Kathmandu,Other,1000,5,6,3.0,3,East,2074.0,566.0,10 Aana,15 Feet / Blacktopped,10.0, Blacktopped,N/A Aana,2020-01-01,"['Parking', 'Garage', 'Air Condition', 'Balcony', 'Frontyard', 'Fencing', 'Garden', 'Microwave', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Well', 'Water Tank']",Apartment,Entire Place,2,0.6,4.0,,,,,109062817,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,3422.5,400.0
105000000,4d1cd8d1-092c-4a20-8bdd-aefd21df60d5,"Budhanilkantha Underconstruction : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,Other,1000,8,8,4.0,4,East,2076.0,96.0,21 Aana,15 Feet / Blacktopped,10.0, Blacktopped,N/A Aana,2020-01-01,"['Parking', 'Garage']",Apartment,Entire Place,2,0.6,4.0,,,,,207359837,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,7187.25,400.0
105000000,1804eefc-a417-469b-9daf-e7e787799b3c,"4 Ropani Farm House Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,Other,1000,5,5,3.0,4,South,2070.0,345.0,4 Ropani,15 Feet / Gravelled,10.0, Gravelled,N/A Aana,2020-01-01,"['Parking', 'Garage', 'Balcony', 'Backyard', 'Deck', 'Frontyard', 'Fencing', 'Garden', 'Microwave', 'Modular Kitchen', 'Washing Machine', 'Drainage', 'Water Supply', 'Solar Water', 'Water Well', 'Water Tank', 'CCTV', 'Kids Playground', 'Store Room']",Apartment,Entire Place,2,0.6,4.0,,,,,644534584,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,21904.0,400.0
27500000,6bf1b107-2518-4289-8428-84c665c3c559,"Kapan Khariboth Home : House For Sale In Kapan, Kathmandu","Na, Kapan, Kathmandu",Kathmandu,Other,1000,6,5,3.0,1,East,2076.0,971.0,4 ana Aana,16 Feet / Blacktopped,10.0, Blacktopped,N/A Aana,2020-01-01,['Parking'],Apartment,Entire Place,2,0.6,4.0,,,,,10274730,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,4.0,400.0
40000000,c47145bd-d14f-48ba-8a22-54ae55cd4d14,"Dhumbarahi Home For Sale : House For Sale In Mandikatar, Kathmandu","Na, Mandikatar, Kathmandu",Kathmandu,Other,1000,7,7,4.0,2,East,2074.0,151.0,7 Aana,15 Feet / Blacktopped,10.0, Blacktopped,N/A Aana,2020-01-01,['Parking'],Apartment,Entire Place,2,0.6,4.0,,,,,78430203,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,2395.75,400.0
26500000,2e92051f-d726-44d5-b725-e57ba0dc1003,"Hattigaudama 5 Anako Ghar Bikrima : House For Sale In Hattigauda, Kathmandu","NA, Hattigauda, Kathmandu",Kathmandu,Other,1000,6,6,3.0,2,West,2075.0,282.0,5 Aana,14 Feet / Blacktopped,10.0, Blacktopped,N/A Aana,2020-01-01,['Parking'],Apartment,Entire Place,2,0.6,4.0,,,,,60598711,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,1711.25,400.0
22500000,a27672f5-919a-4fb1-b9bb-a873e8e254f3,"Grandy Gate Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,Other,1000,6,6,3.0,1,North East,2070.0,66.0,3.1 Aana,18 Feet / Blacktopped,10.0, Blacktopped,N/A Aana,2020-01-01,['Parking'],Apartment,Entire Place,2,0.6,4.0,,,,,41702468,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,1060.9750000000001,400.0
60000000,58c0cd39-6716-448c-81fc-1f80ec085c53,"11 Ana Bungalow For Sale : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,Other,1000,6,6,3.0,4,South East,2070.0,157.0,11 Aana,15 Feet / Soil Stabilized,10.0, Soil Stabilized,N/A Aana,2020-01-01,['Parking'],Apartment,Entire Place,2,0.6,4.0,,,,,105315824,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,3764.75,400.0
250000000,d83b9dee-4a83-4306-8cda-87931e9241b5,"Baluwatar 30 Ana Bungalow For Sale : House For Sale In Baluwatar, Kathmandu","Na, Baluwatar, Kathmandu",Kathmandu,Other,1000,6,5,3.0,10,East,2010.0,339.0,30 Aana,15 Feet,10.0,,N/A Aana,2020-01-01,"['Parking', 'Garage', 'Balcony', 'Garden', 'Water Supply', 'Drainage', 'Water Tank', 'Solar Water']",Apartment,Entire Place,2,0.6,4.0,,,,,305121361,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,10267.5,400.0
40000000,128ab534-c79f-4dae-93d5-75e105d6d725,"Grandy House For Sale : House For Sale In Tokha, Kathmandu","Na, Tokha, Kathmandu",Kathmandu,Other,1000,9,6,4.0,3,East,2069.0,71.0,9 Aana,13 Feet / Paved,10.0, Paved,N/A Aana,2020-01-01,['Parking'],Apartment,Entire Place,2,0.6,4.0,,,,,102758850,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,3080.25,400.0
30000000,71bb52f5-89e3-4ff0-928b-eb892b7aa4aa,"Sukedhara Brand New Home For Sale : House For Sale In Sukedhara, Kathmandu","Na, Sukedhara, Kathmandu",Kathmandu,Other,1000,6,5,3.0,1,East,2076.0,136.0,3.5 Aana,15 Feet / Blacktopped,10.0, Blacktopped,N/A Aana,2020-01-01,"['Parking', 'Garage', 'Balcony', 'Modular Kitchen', 'Water Supply', 'Drainage', 'Water Well', 'Solar Water', 'Water Tank']",Apartment,Entire Place,2,0.6,4.0,,,,,41745038,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,1197.875,400.0
65000000,0a1c0846-09ef-4717-a753-e1d70798e194,"Naksal Maligau Home For Sale : House For Sale In Maligaon, Kathmandu","NA, Maligaon, Kathmandu",Kathmandu,Other,1000,6,6,3.0,4,East,2070.0,108.0,12 Aana,14 Feet / Gravelled,10.0, Gravelled,N/A Aana,2020-01-01,"['Parking', 'Garage', 'Air Condition', 'Microwave', 'Modular Kitchen', 'Water Supply', 'Drainage', 'Water Well', 'Solar Water', 'Water Tank']",Apartment,Entire Place,2,0.6,4.0,,,,,122995736,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,4107.0,400.0
33000000,8af4146c-33ea-4ce3-855f-e751caa085a7,"Hattigauda 5 Ana Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,Other,1000,5,6,3.0,2,North,2070.0,150.0,5 Aana,13 Feet / Blacktopped,10.0, Blacktopped,N/A Aana,2020-01-01,"['Parking', 'Garden']",Apartment,Entire Place,2,0.6,4.0,,,,,52439438,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,1711.25,400.0
30500000,c6a044ee-ce03-4b40-b615-1a89a9e80b3f,"Golfutar Height Home : House For Sale In Budhanilkantha, Kathmandu","Man, Budhanilkantha, Kathmandu",Kathmandu,Other,1000,5,5,2.0,1,West,2070.0,112.0,4 Aana,13 Feet / Blacktopped,10.0, Blacktopped,N/A Aana,2020-01-01,['Parking'],Apartment,Entire Place,2,0.6,4.0,,,,,45070993,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,1369.0,400.0
14000000,a11674e2-ef0a-4d73-843f-0c5c24f58986,"Mandikatar 1 Floor Home : House For Sale In Mandikatar, Kathmandu","Na, Mandikatar, Kathmandu",Kathmandu,Other,1000,2,2,1.0,1,South West,2076.0,0.0,3.1 ana Aana,13 Feet / Gravelled,10.0, Gravelled,N/A Aana,2020-01-01,['Parking'],Apartment,Entire Place,2,0.6,4.0,,,,,4311721,,,,0.13,,,1.0,40000,Trekking Season,4.5,130.0,sale,3.1,400.0
